dataset,method,model,split,channel,payload_len,trajectories,decoded_len_mean,decoded_len_std,bit_match_rate_mean,bit_match_rate_std,payload_recovery_rate,c_nom_proxy_bits,c_eff_proxy_bits,runs
alfworld,agentmark,deepseek,ID,L0_exact_probs,8,420,18.5571,16.7379,0.976318,0.12077,0.611905,18.5571,11.355182,3
alfworld,agentmark,deepseek,ID,L0_exact_probs,16,420,18.5571,16.7379,0.976318,0.12077,0.35,18.5571,6.494985,3
alfworld,agentmark,deepseek,ID,L0_exact_probs,32,420,18.5571,16.7379,0.976318,0.12077,0.152381,18.5571,2.827749,3
alfworld,agentmark,deepseek,ID,L0_exact_probs,64,420,18.5571,16.7379,0.976318,0.12077,0.011905,18.5571,0.220922,3
alfworld,agentmark,deepseek,ID,L1_top10_rank,8,420,17.9976,16.0702,0.565451,0.203605,0.009524,17.9976,0.171409,3
alfworld,agentmark,deepseek,ID,L1_top10_rank,16,420,17.9976,16.0702,0.565451,0.203605,0.0,17.9976,0.0,3
alfworld,agentmark,deepseek,ID,L1_top10_rank,32,420,17.9976,16.0702,0.565451,0.203605,0.0,17.9976,0.0,3
alfworld,agentmark,deepseek,ID,L1_top10_rank,64,420,17.9976,16.0702,0.565451,0.203605,0.0,17.9976,0.0,3
alfworld,agentmark,deepseek,ID,L2_top8_rank,8,420,17.9976,16.0702,0.530996,0.200419,0.002381,17.9976,0.042852,3
alfworld,agentmark,deepseek,ID,L2_top8_rank,16,420,17.9976,16.0702,0.530996,0.200419,0.0,17.9976,0.0,3
alfworld,agentmark,deepseek,ID,L2_top8_rank,32,420,17.9976,16.0702,0.530996,0.200419,0.0,17.9976,0.0,3
alfworld,agentmark,deepseek,ID,L2_top8_rank,64,420,17.9976,16.0702,0.530996,0.200419,0.0,17.9976,0.0,3
alfworld,agentmark,deepseek,ID,L3_top6_rank,8,420,14.7952,12.6533,0.491508,0.219106,0.002381,14.7952,0.035227,3
alfworld,agentmark,deepseek,ID,L3_top6_rank,16,420,14.7952,12.6533,0.491508,0.219106,0.0,14.7952,0.0,3
alfworld,agentmark,deepseek,ID,L3_top6_rank,32,420,14.7952,12.6533,0.491508,0.219106,0.0,14.7952,0.0,3
alfworld,agentmark,deepseek,ID,L3_top6_rank,64,420,14.7952,12.6533,0.491508,0.219106,0.0,14.7952,0.0,3
alfworld,agentmark,deepseek,ID,L4_top4_rank,8,420,14.7952,12.6533,0.488707,0.208597,0.004762,14.7952,0.070455,3
alfworld,agentmark,deepseek,ID,L4_top4_rank,16,420,14.7952,12.6533,0.488707,0.208597,0.0,14.7952,0.0,3
alfworld,agentmark,deepseek,ID,L4_top4_rank,32,420,14.7952,12.6533,0.488707,0.208597,0.0,14.7952,0.0,3
alfworld,agentmark,deepseek,ID,L4_top4_rank,64,420,14.7952,12.6533,0.488707,0.208597,0.0,14.7952,0.0,3
alfworld,agentmark,deepseek,ID,L5_top2_rank,8,420,8.2667,6.8297,0.499822,0.254145,0.004762,8.2667,0.039366,3
alfworld,agentmark,deepseek,ID,L5_top2_rank,16,420,8.2667,6.8297,0.499822,0.254145,0.0,8.2667,0.0,3
alfworld,agentmark,deepseek,ID,L5_top2_rank,32,420,8.2667,6.8297,0.499822,0.254145,0.0,8.2667,0.0,3
alfworld,agentmark,deepseek,ID,L5_top2_rank,64,420,8.2667,6.8297,0.499822,0.254145,0.0,8.2667,0.0,3
alfworld,agentmark,deepseek,ID,L6_selected_only,8,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,deepseek,ID,L6_selected_only,16,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,deepseek,ID,L6_selected_only,32,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,deepseek,ID,L6_selected_only,64,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,deepseek,OOD,L0_exact_probs,8,402,20.8134,16.8568,0.989961,0.035986,0.679104,20.8134,14.134463,3
alfworld,agentmark,deepseek,OOD,L0_exact_probs,16,402,20.8134,16.8568,0.989961,0.035986,0.432836,20.8134,9.008789,3
alfworld,agentmark,deepseek,OOD,L0_exact_probs,32,402,20.8134,16.8568,0.989961,0.035986,0.19403,20.8134,4.038424,3
alfworld,agentmark,deepseek,OOD,L0_exact_probs,64,402,20.8134,16.8568,0.989961,0.035986,0.007463,20.8134,0.15533,3
alfworld,agentmark,deepseek,OOD,L1_top10_rank,8,402,20.209,16.3867,0.58806,0.196065,0.024876,20.209,0.502719,3
alfworld,agentmark,deepseek,OOD,L1_top10_rank,16,402,20.209,16.3867,0.58806,0.196065,0.0,20.209,0.0,3
alfworld,agentmark,deepseek,OOD,L1_top10_rank,32,402,20.209,16.3867,0.58806,0.196065,0.0,20.209,0.0,3
alfworld,agentmark,deepseek,OOD,L1_top10_rank,64,402,20.209,16.3867,0.58806,0.196065,0.0,20.209,0.0,3
alfworld,agentmark,deepseek,OOD,L2_top8_rank,8,402,20.209,16.3867,0.560525,0.194299,0.004975,20.209,0.10054,3
alfworld,agentmark,deepseek,OOD,L2_top8_rank,16,402,20.209,16.3867,0.560525,0.194299,0.0,20.209,0.0,3
alfworld,agentmark,deepseek,OOD,L2_top8_rank,32,402,20.209,16.3867,0.560525,0.194299,0.0,20.209,0.0,3
alfworld,agentmark,deepseek,OOD,L2_top8_rank,64,402,20.209,16.3867,0.560525,0.194299,0.0,20.209,0.0,3
alfworld,agentmark,deepseek,OOD,L3_top6_rank,8,402,16.1642,12.9608,0.497558,0.212005,0.0,16.1642,0.0,3
alfworld,agentmark,deepseek,OOD,L3_top6_rank,16,402,16.1642,12.9608,0.497558,0.212005,0.0,16.1642,0.0,3
alfworld,agentmark,deepseek,OOD,L3_top6_rank,32,402,16.1642,12.9608,0.497558,0.212005,0.0,16.1642,0.0,3
alfworld,agentmark,deepseek,OOD,L3_top6_rank,64,402,16.1642,12.9608,0.497558,0.212005,0.0,16.1642,0.0,3
alfworld,agentmark,deepseek,OOD,L4_top4_rank,8,402,16.1642,12.9608,0.498646,0.202946,0.002488,16.1642,0.040217,3
alfworld,agentmark,deepseek,OOD,L4_top4_rank,16,402,16.1642,12.9608,0.498646,0.202946,0.0,16.1642,0.0,3
alfworld,agentmark,deepseek,OOD,L4_top4_rank,32,402,16.1642,12.9608,0.498646,0.202946,0.0,16.1642,0.0,3
alfworld,agentmark,deepseek,OOD,L4_top4_rank,64,402,16.1642,12.9608,0.498646,0.202946,0.0,16.1642,0.0,3
alfworld,agentmark,deepseek,OOD,L5_top2_rank,8,402,8.8731,6.9473,0.50494,0.262572,0.00995,8.8731,0.088287,3
alfworld,agentmark,deepseek,OOD,L5_top2_rank,16,402,8.8731,6.9473,0.50494,0.262572,0.0,8.8731,0.0,3
alfworld,agentmark,deepseek,OOD,L5_top2_rank,32,402,8.8731,6.9473,0.50494,0.262572,0.0,8.8731,0.0,3
alfworld,agentmark,deepseek,OOD,L5_top2_rank,64,402,8.8731,6.9473,0.50494,0.262572,0.0,8.8731,0.0,3
alfworld,agentmark,deepseek,OOD,L6_selected_only,8,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,deepseek,OOD,L6_selected_only,16,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,deepseek,OOD,L6_selected_only,32,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,deepseek,OOD,L6_selected_only,64,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,8,420,35.3071,29.8807,0.989375,0.027241,0.766667,35.3071,27.068788,3
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,16,420,35.3071,29.8807,0.989375,0.027241,0.561905,35.3071,19.839236,3
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,32,420,35.3071,29.8807,0.989375,0.027241,0.314286,35.3071,11.096527,3
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,64,420,35.3071,29.8807,0.989375,0.027241,0.104762,35.3071,3.698842,3
alfworld,agentmark,gemini-flash,ID,L1_top10_rank,8,420,28.8429,22.1892,0.618015,0.140599,0.007143,28.8429,0.206025,3
alfworld,agentmark,gemini-flash,ID,L1_top10_rank,16,420,28.8429,22.1892,0.618015,0.140599,0.0,28.8429,0.0,3
alfworld,agentmark,gemini-flash,ID,L1_top10_rank,32,420,28.8429,22.1892,0.618015,0.140599,0.0,28.8429,0.0,3
alfworld,agentmark,gemini-flash,ID,L1_top10_rank,64,420,28.8429,22.1892,0.618015,0.140599,0.0,28.8429,0.0,3
alfworld,agentmark,gemini-flash,ID,L2_top8_rank,8,420,28.8429,22.1892,0.551881,0.146551,0.007143,28.8429,0.206025,3
alfworld,agentmark,gemini-flash,ID,L2_top8_rank,16,420,28.8429,22.1892,0.551881,0.146551,0.0,28.8429,0.0,3
alfworld,agentmark,gemini-flash,ID,L2_top8_rank,32,420,28.8429,22.1892,0.551881,0.146551,0.0,28.8429,0.0,3
alfworld,agentmark,gemini-flash,ID,L2_top8_rank,64,420,28.8429,22.1892,0.551881,0.146551,0.0,28.8429,0.0,3
alfworld,agentmark,gemini-flash,ID,L3_top6_rank,8,420,21.45,15.8052,0.504757,0.168225,0.007143,21.45,0.153217,3
alfworld,agentmark,gemini-flash,ID,L3_top6_rank,16,420,21.45,15.8052,0.504757,0.168225,0.0,21.45,0.0,3
alfworld,agentmark,gemini-flash,ID,L3_top6_rank,32,420,21.45,15.8052,0.504757,0.168225,0.0,21.45,0.0,3
alfworld,agentmark,gemini-flash,ID,L3_top6_rank,64,420,21.45,15.8052,0.504757,0.168225,0.0,21.45,0.0,3
alfworld,agentmark,gemini-flash,ID,L4_top4_rank,8,420,21.45,15.8052,0.489383,0.160526,0.002381,21.45,0.051072,3
alfworld,agentmark,gemini-flash,ID,L4_top4_rank,16,420,21.45,15.8052,0.489383,0.160526,0.0,21.45,0.0,3
alfworld,agentmark,gemini-flash,ID,L4_top4_rank,32,420,21.45,15.8052,0.489383,0.160526,0.0,21.45,0.0,3
alfworld,agentmark,gemini-flash,ID,L4_top4_rank,64,420,21.45,15.8052,0.489383,0.160526,0.0,21.45,0.0,3
alfworld,agentmark,gemini-flash,ID,L5_top2_rank,8,420,11.5833,8.1575,0.518188,0.213069,0.0,11.5833,0.0,3
alfworld,agentmark,gemini-flash,ID,L5_top2_rank,16,420,11.5833,8.1575,0.518188,0.213069,0.0,11.5833,0.0,3
alfworld,agentmark,gemini-flash,ID,L5_top2_rank,32,420,11.5833,8.1575,0.518188,0.213069,0.0,11.5833,0.0,3
alfworld,agentmark,gemini-flash,ID,L5_top2_rank,64,420,11.5833,8.1575,0.518188,0.213069,0.0,11.5833,0.0,3
alfworld,agentmark,gemini-flash,ID,L6_selected_only,8,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,gemini-flash,ID,L6_selected_only,16,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,gemini-flash,ID,L6_selected_only,32,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,gemini-flash,ID,L6_selected_only,64,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,8,402,35.2363,28.1546,0.984582,0.073526,0.743781,35.2363,26.20809,3
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,16,402,35.2363,28.1546,0.984582,0.073526,0.557214,35.2363,19.63416,3
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,32,402,35.2363,28.1546,0.984582,0.073526,0.343284,35.2363,12.096058,3
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,64,402,35.2363,28.1546,0.984582,0.073526,0.109453,35.2363,3.856719,3
alfworld,agentmark,gemini-flash,OOD,L1_top10_rank,8,402,30.2637,23.5546,0.602585,0.1626,0.014925,30.2637,0.451686,3
alfworld,agentmark,gemini-flash,OOD,L1_top10_rank,16,402,30.2637,23.5546,0.602585,0.1626,0.0,30.2637,0.0,3
alfworld,agentmark,gemini-flash,OOD,L1_top10_rank,32,402,30.2637,23.5546,0.602585,0.1626,0.0,30.2637,0.0,3
alfworld,agentmark,gemini-flash,OOD,L1_top10_rank,64,402,30.2637,23.5546,0.602585,0.1626,0.0,30.2637,0.0,3
alfworld,agentmark,gemini-flash,OOD,L2_top8_rank,8,402,30.2637,23.5546,0.543983,0.175073,0.002488,30.2637,0.075296,3
alfworld,agentmark,gemini-flash,OOD,L2_top8_rank,16,402,30.2637,23.5546,0.543983,0.175073,0.0,30.2637,0.0,3
alfworld,agentmark,gemini-flash,OOD,L2_top8_rank,32,402,30.2637,23.5546,0.543983,0.175073,0.0,30.2637,0.0,3
alfworld,agentmark,gemini-flash,OOD,L2_top8_rank,64,402,30.2637,23.5546,0.543983,0.175073,0.0,30.2637,0.0,3
alfworld,agentmark,gemini-flash,OOD,L3_top6_rank,8,402,22.2413,16.7423,0.496563,0.189058,0.007463,22.2413,0.165987,3
alfworld,agentmark,gemini-flash,OOD,L3_top6_rank,16,402,22.2413,16.7423,0.496563,0.189058,0.0,22.2413,0.0,3
alfworld,agentmark,gemini-flash,OOD,L3_top6_rank,32,402,22.2413,16.7423,0.496563,0.189058,0.0,22.2413,0.0,3
alfworld,agentmark,gemini-flash,OOD,L3_top6_rank,64,402,22.2413,16.7423,0.496563,0.189058,0.0,22.2413,0.0,3
alfworld,agentmark,gemini-flash,OOD,L4_top4_rank,8,402,22.2413,16.7423,0.494819,0.164029,0.0,22.2413,0.0,3
alfworld,agentmark,gemini-flash,OOD,L4_top4_rank,16,402,22.2413,16.7423,0.494819,0.164029,0.0,22.2413,0.0,3
alfworld,agentmark,gemini-flash,OOD,L4_top4_rank,32,402,22.2413,16.7423,0.494819,0.164029,0.0,22.2413,0.0,3
alfworld,agentmark,gemini-flash,OOD,L4_top4_rank,64,402,22.2413,16.7423,0.494819,0.164029,0.0,22.2413,0.0,3
alfworld,agentmark,gemini-flash,OOD,L5_top2_rank,8,402,11.8532,8.653,0.492209,0.223204,0.0,11.8532,0.0,3
alfworld,agentmark,gemini-flash,OOD,L5_top2_rank,16,402,11.8532,8.653,0.492209,0.223204,0.0,11.8532,0.0,3
alfworld,agentmark,gemini-flash,OOD,L5_top2_rank,32,402,11.8532,8.653,0.492209,0.223204,0.0,11.8532,0.0,3
alfworld,agentmark,gemini-flash,OOD,L5_top2_rank,64,402,11.8532,8.653,0.492209,0.223204,0.0,11.8532,0.0,3
alfworld,agentmark,gemini-flash,OOD,L6_selected_only,8,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,gemini-flash,OOD,L6_selected_only,16,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,gemini-flash,OOD,L6_selected_only,32,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,agentmark,gemini-flash,OOD,L6_selected_only,64,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,deepseek,ID,L0_exact_probs,8,420,8.5548,8.555,0.886673,0.311859,0.37381,8.5548,3.19787,3
alfworld,rank,deepseek,ID,L0_exact_probs,16,420,8.5548,8.555,0.886673,0.311859,0.178571,8.5548,1.527639,3
alfworld,rank,deepseek,ID,L0_exact_probs,32,420,8.5548,8.555,0.886673,0.311859,0.009524,8.5548,0.081476,3
alfworld,rank,deepseek,ID,L0_exact_probs,64,420,8.5548,8.555,0.886673,0.311859,0.0,8.5548,0.0,3
alfworld,rank,deepseek,ID,L1_top10_rank,8,420,8.5167,8.4995,0.680548,0.326788,0.042857,8.5167,0.365,3
alfworld,rank,deepseek,ID,L1_top10_rank,16,420,8.5167,8.4995,0.680548,0.326788,0.0,8.5167,0.0,3
alfworld,rank,deepseek,ID,L1_top10_rank,32,420,8.5167,8.4995,0.680548,0.326788,0.0,8.5167,0.0,3
alfworld,rank,deepseek,ID,L1_top10_rank,64,420,8.5167,8.4995,0.680548,0.326788,0.0,8.5167,0.0,3
alfworld,rank,deepseek,ID,L2_top8_rank,8,420,8.5167,8.4995,0.623812,0.32603,0.030952,8.5167,0.263609,3
alfworld,rank,deepseek,ID,L2_top8_rank,16,420,8.5167,8.4995,0.623812,0.32603,0.0,8.5167,0.0,3
alfworld,rank,deepseek,ID,L2_top8_rank,32,420,8.5167,8.4995,0.623812,0.32603,0.0,8.5167,0.0,3
alfworld,rank,deepseek,ID,L2_top8_rank,64,420,8.5167,8.4995,0.623812,0.32603,0.0,8.5167,0.0,3
alfworld,rank,deepseek,ID,L3_top6_rank,8,420,8.1452,8.0556,0.619747,0.316452,0.019048,8.1452,0.15515,3
alfworld,rank,deepseek,ID,L3_top6_rank,16,420,8.1452,8.0556,0.619747,0.316452,0.0,8.1452,0.0,3
alfworld,rank,deepseek,ID,L3_top6_rank,32,420,8.1452,8.0556,0.619747,0.316452,0.0,8.1452,0.0,3
alfworld,rank,deepseek,ID,L3_top6_rank,64,420,8.1452,8.0556,0.619747,0.316452,0.0,8.1452,0.0,3
alfworld,rank,deepseek,ID,L4_top4_rank,8,420,8.1452,8.0556,0.55433,0.320877,0.004762,8.1452,0.038787,3
alfworld,rank,deepseek,ID,L4_top4_rank,16,420,8.1452,8.0556,0.55433,0.320877,0.0,8.1452,0.0,3
alfworld,rank,deepseek,ID,L4_top4_rank,32,420,8.1452,8.0556,0.55433,0.320877,0.0,8.1452,0.0,3
alfworld,rank,deepseek,ID,L4_top4_rank,64,420,8.1452,8.0556,0.55433,0.320877,0.0,8.1452,0.0,3
alfworld,rank,deepseek,ID,L5_top2_rank,8,420,5.9714,5.6428,0.535479,0.334315,0.007143,5.9714,0.042654,3
alfworld,rank,deepseek,ID,L5_top2_rank,16,420,5.9714,5.6428,0.535479,0.334315,0.0,5.9714,0.0,3
alfworld,rank,deepseek,ID,L5_top2_rank,32,420,5.9714,5.6428,0.535479,0.334315,0.0,5.9714,0.0,3
alfworld,rank,deepseek,ID,L5_top2_rank,64,420,5.9714,5.6428,0.535479,0.334315,0.0,5.9714,0.0,3
alfworld,rank,deepseek,ID,L6_selected_only,8,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,deepseek,ID,L6_selected_only,16,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,deepseek,ID,L6_selected_only,32,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,deepseek,ID,L6_selected_only,64,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,deepseek,OOD,L0_exact_probs,8,402,9.5871,8.462,0.935411,0.23842,0.455224,9.5871,4.364278,3
alfworld,rank,deepseek,OOD,L0_exact_probs,16,402,9.5871,8.462,0.935411,0.23842,0.211443,9.5871,2.027125,3
alfworld,rank,deepseek,OOD,L0_exact_probs,32,402,9.5871,8.462,0.935411,0.23842,0.014925,9.5871,0.143087,3
alfworld,rank,deepseek,OOD,L0_exact_probs,64,402,9.5871,8.462,0.935411,0.23842,0.0,9.5871,0.0,3
alfworld,rank,deepseek,OOD,L1_top10_rank,8,402,9.5572,8.4161,0.720031,0.251145,0.049751,9.5572,0.47548,3
alfworld,rank,deepseek,OOD,L1_top10_rank,16,402,9.5572,8.4161,0.720031,0.251145,0.0,9.5572,0.0,3
alfworld,rank,deepseek,OOD,L1_top10_rank,32,402,9.5572,8.4161,0.720031,0.251145,0.0,9.5572,0.0,3
alfworld,rank,deepseek,OOD,L1_top10_rank,64,402,9.5572,8.4161,0.720031,0.251145,0.0,9.5572,0.0,3
alfworld,rank,deepseek,OOD,L2_top8_rank,8,402,9.5572,8.4161,0.669053,0.267474,0.029851,9.5572,0.285292,3
alfworld,rank,deepseek,OOD,L2_top8_rank,16,402,9.5572,8.4161,0.669053,0.267474,0.002488,9.5572,0.023778,3
alfworld,rank,deepseek,OOD,L2_top8_rank,32,402,9.5572,8.4161,0.669053,0.267474,0.0,9.5572,0.0,3
alfworld,rank,deepseek,OOD,L2_top8_rank,64,402,9.5572,8.4161,0.669053,0.267474,0.0,9.5572,0.0,3
alfworld,rank,deepseek,OOD,L3_top6_rank,8,402,9.2114,8.0576,0.622699,0.283982,0.022388,9.2114,0.206225,3
alfworld,rank,deepseek,OOD,L3_top6_rank,16,402,9.2114,8.0576,0.622699,0.283982,0.0,9.2114,0.0,3
alfworld,rank,deepseek,OOD,L3_top6_rank,32,402,9.2114,8.0576,0.622699,0.283982,0.0,9.2114,0.0,3
alfworld,rank,deepseek,OOD,L3_top6_rank,64,402,9.2114,8.0576,0.622699,0.283982,0.0,9.2114,0.0,3
alfworld,rank,deepseek,OOD,L4_top4_rank,8,402,9.2114,8.0576,0.58956,0.272808,0.0199,9.2114,0.183307,3
alfworld,rank,deepseek,OOD,L4_top4_rank,16,402,9.2114,8.0576,0.58956,0.272808,0.0,9.2114,0.0,3
alfworld,rank,deepseek,OOD,L4_top4_rank,32,402,9.2114,8.0576,0.58956,0.272808,0.0,9.2114,0.0,3
alfworld,rank,deepseek,OOD,L4_top4_rank,64,402,9.2114,8.0576,0.58956,0.272808,0.0,9.2114,0.0,3
alfworld,rank,deepseek,OOD,L5_top2_rank,8,402,6.6965,5.8418,0.543198,0.30463,0.0,6.6965,0.0,3
alfworld,rank,deepseek,OOD,L5_top2_rank,16,402,6.6965,5.8418,0.543198,0.30463,0.0,6.6965,0.0,3
alfworld,rank,deepseek,OOD,L5_top2_rank,32,402,6.6965,5.8418,0.543198,0.30463,0.0,6.6965,0.0,3
alfworld,rank,deepseek,OOD,L5_top2_rank,64,402,6.6965,5.8418,0.543198,0.30463,0.0,6.6965,0.0,3
alfworld,rank,deepseek,OOD,L6_selected_only,8,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,deepseek,OOD,L6_selected_only,16,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,deepseek,OOD,L6_selected_only,32,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,deepseek,OOD,L6_selected_only,64,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
alfworld,rank,gemini-flash,ID,L0_exact_probs,8,420,18.5762,15.1806,0.968072,0.161805,0.661905,18.5762,12.29568,3
alfworld,rank,gemini-flash,ID,L0_exact_probs,16,420,18.5762,15.1806,0.968072,0.161805,0.42381,18.5762,7.872779,3
alfworld,rank,gemini-flash,ID,L0_exact_probs,32,420,18.5762,15.1806,0.968072,0.161805,0.17381,18.5762,3.228729,3
alfworld,rank,gemini-flash,ID,L0_exact_probs,64,420,18.5762,15.1806,0.968072,0.161805,0.002381,18.5762,0.04423,3
alfworld,rank,gemini-flash,ID,L1_top10_rank,8,420,18.0333,14.427,0.737733,0.218413,0.107143,18.0333,1.932142,3
alfworld,rank,gemini-flash,ID,L1_top10_rank,16,420,18.0333,14.427,0.737733,0.218413,0.011905,18.0333,0.214686,3
alfworld,rank,gemini-flash,ID,L1_top10_rank,32,420,18.0333,14.427,0.737733,0.218413,0.0,18.0333,0.0,3
alfworld,rank,gemini-flash,ID,L1_top10_rank,64,420,18.0333,14.427,0.737733,0.218413,0.0,18.0333,0.0,3
alfworld,rank,gemini-flash,ID,L2_top8_rank,8,420,18.0333,14.427,0.692312,0.224225,0.05,18.0333,0.901665,3
alfworld,rank,gemini-flash,ID,L2_top8_rank,16,420,18.0333,14.427,0.692312,0.224225,0.004762,18.0333,0.085875,3
alfworld,rank,gemini-flash,ID,L2_top8_rank,32,420,18.0333,14.427,0.692312,0.224225,0.0,18.0333,0.0,3
alfworld,rank,gemini-flash,ID,L2_top8_rank,64,420,18.0333,14.427,0.692312,0.224225,0.0,18.0333,0.0,3
alfworld,rank,gemini-flash,ID,L3_top6_rank,8,420,15.8048,12.0921,0.656778,0.225111,0.047619,15.8048,0.752609,3
