dataset,method,model,split,topk,trajectories,decoded_len_mean,decoded_len_std,bit_match_rate_mean,bit_match_rate_std,payload_recovery_rate,c_nom_proxy_bits,c_eff_proxy_bits,runs
alfworld,rank,deepseek,ID,2,420,5.9714,5.6428,0.526241,0.325943,0.002381,5.9714,0.014218,3
alfworld,rank,deepseek,ID,4,420,8.1452,8.0556,0.570452,0.315815,0.007143,8.1452,0.058181,3
alfworld,rank,deepseek,ID,6,420,8.1452,8.0556,0.612245,0.329539,0.02381,8.1452,0.193937,3
alfworld,rank,deepseek,ID,8,420,8.5167,8.4995,0.629033,0.325451,0.045238,8.5167,0.385278,3
alfworld,rank,deepseek,ID,10,420,8.5167,8.4995,0.667278,0.3218,0.045238,8.5167,0.385278,3
alfworld,rank,deepseek,ID,20,420,8.5548,8.555,0.818559,0.318008,0.22619,8.5548,1.93501,3
alfworld,rank,deepseek,OOD,2,402,6.6965,5.8418,0.564109,0.295731,0.007463,6.6965,0.049976,3
alfworld,rank,deepseek,OOD,4,402,9.2114,8.0576,0.601003,0.271432,0.0199,9.2114,0.183307,3
alfworld,rank,deepseek,OOD,6,402,9.2114,8.0576,0.627488,0.270814,0.017413,9.2114,0.160398,3
alfworld,rank,deepseek,OOD,8,402,9.5572,8.4161,0.656115,0.267828,0.029851,9.5572,0.285292,3
alfworld,rank,deepseek,OOD,10,402,9.5572,8.4161,0.698505,0.266048,0.037313,9.5572,0.356608,3
alfworld,rank,deepseek,OOD,20,402,9.5871,8.462,0.856709,0.254582,0.266169,9.5871,2.551789,3
alfworld,rank,gemini-flash,ID,2,420,10.15,7.2792,0.567664,0.235116,0.004762,10.15,0.048334,3
alfworld,rank,gemini-flash,ID,4,420,15.8048,12.0921,0.620311,0.212457,0.014286,15.8048,0.225787,3
alfworld,rank,gemini-flash,ID,6,420,15.8048,12.0921,0.66355,0.215044,0.047619,15.8048,0.752609,3
alfworld,rank,gemini-flash,ID,8,420,18.0333,14.427,0.697514,0.215595,0.069048,18.0333,1.245163,3
alfworld,rank,gemini-flash,ID,10,420,18.0333,14.427,0.729466,0.225244,0.109524,18.0333,1.975079,3
alfworld,rank,gemini-flash,ID,20,420,18.519,15.0915,0.875948,0.195644,0.364286,18.519,6.746212,3
alfworld,rank,gemini-flash,OOD,2,402,9.8259,7.384,0.572352,0.251443,0.007463,9.8259,0.073331,3
alfworld,rank,gemini-flash,OOD,4,402,15.2886,11.9815,0.61027,0.207884,0.012438,15.2886,0.19016,3
alfworld,rank,gemini-flash,OOD,6,402,15.2886,11.9815,0.663505,0.200571,0.024876,15.2886,0.380319,3
alfworld,rank,gemini-flash,OOD,8,402,16.995,13.6712,0.698385,0.197971,0.049751,16.995,0.845518,3
alfworld,rank,gemini-flash,OOD,10,402,16.995,13.6712,0.734098,0.204996,0.064677,16.995,1.099186,3
alfworld,rank,gemini-flash,OOD,20,402,17.2164,13.935,0.900082,0.168852,0.395522,17.2164,6.809465,3
toolbench,rank,deepseek,G1_category,2,60,0.8333,2.0844,0.219259,0.39787,0.0,0.8333,0.0,3
toolbench,rank,deepseek,G1_category,4,60,1.1167,3.0146,0.256174,0.420318,0.0,1.1167,0.0,3
toolbench,rank,deepseek,G1_category,6,60,1.1167,3.0146,0.257975,0.422808,0.0,1.1167,0.0,3
toolbench,rank,deepseek,G1_category,8,60,1.1667,3.2321,0.268998,0.436569,0.05,1.1667,0.058335,3
toolbench,rank,deepseek,G1_category,10,60,1.1667,3.2321,0.264583,0.442745,0.05,1.1667,0.058335,3
toolbench,rank,deepseek,G1_category,20,60,1.1667,3.2321,0.283333,0.45442,0.066667,1.1667,0.07778,3
toolbench,rank,deepseek,G1_instruction,2,60,1.7,1.7974,0.462778,0.44055,0.0,1.7,0.0,3
toolbench,rank,deepseek,G1_instruction,4,60,2.1667,2.5054,0.621928,0.429717,0.0,2.1667,0.0,3
toolbench,rank,deepseek,G1_instruction,6,60,2.1667,2.5054,0.682189,0.442298,0.033333,2.1667,0.072223,3
toolbench,rank,deepseek,G1_instruction,8,60,2.2667,2.6988,0.700812,0.447977,0.016667,2.2667,0.037779,3
toolbench,rank,deepseek,G1_instruction,10,60,2.2667,2.6988,0.715152,0.45361,0.05,2.2667,0.113335,3
toolbench,rank,deepseek,G1_instruction,20,60,2.2667,2.6988,0.730952,0.444881,0.05,2.2667,0.113335,3
toolbench,rank,deepseek,G1_tool,2,60,1.5333,1.8454,0.436389,0.442268,0.0,1.5333,0.0,3
toolbench,rank,deepseek,G1_tool,4,60,1.8167,2.3542,0.54586,0.464825,0.0,1.8167,0.0,3
toolbench,rank,deepseek,G1_tool,6,60,1.8167,2.3542,0.542765,0.465101,0.0,1.8167,0.0,3
toolbench,rank,deepseek,G1_tool,8,60,1.8667,2.4802,0.554516,0.49112,0.0,1.8667,0.0,3
toolbench,rank,deepseek,G1_tool,10,60,1.8667,2.4802,0.583333,0.497167,0.05,1.8667,0.093335,3
toolbench,rank,deepseek,G1_tool,20,60,1.8667,2.4802,0.597222,0.49221,0.05,1.8667,0.093335,3
toolbench,rank,deepseek,G2_category,2,60,1.5667,2.0283,0.393565,0.4244,0.0,1.5667,0.0,3
