dataset,method,model,split,complete_runs,mean_steps,std_steps,dataset_key,mean_success_rate_pct,std_success_rate_pct
ALFWorld,vanilla,gemini-flash,ID,3/3,18.4476,0.0719,alfworld,60.9524,1.0911
ALFWorld,vanilla,gemini-flash,OOD,3/3,17.6742,0.4928,alfworld,66.6667,1.5535
ALFWorld,vanilla,deepseek,ID,3/3,15.5881,0.5572,alfworld,71.6667,1.6495
ALFWorld,vanilla,deepseek,OOD,3/3,14.4627,0.386,alfworld,77.1144,0.8617
ALFWorld,clean,gemini-flash,ID,3/3,17.3381,0.0757,alfworld,72.6191,0.8247
ALFWorld,clean,gemini-flash,OOD,3/3,18.7612,0.0,alfworld,69.403,0.0
ALFWorld,clean,deepseek,ID,3/3,14.6357,0.0124,alfworld,88.5714,0.0
ALFWorld,clean,deepseek,OOD,3/3,14.1866,0.0259,alfworld,89.5522,0.0
ALFWorld,rg,gemini-flash,ID,3/3,19.9595,0.3622,alfworld,63.3333,2.8868
ALFWorld,rg,gemini-flash,OOD,3/3,19.9478,0.8963,alfworld,63.9303,3.016
ALFWorld,rg,deepseek,ID,3/3,15.2809,0.043,alfworld,84.5238,0.4124
ALFWorld,rg,deepseek,OOD,3/3,15.1219,0.3685,alfworld,87.811,3.3651
ALFWorld,agentmark,gemini-flash,ID,3/3,18.05,0.1037,alfworld,72.1429,3.5715
ALFWorld,agentmark,gemini-flash,OOD,3/3,18.3632,0.3851,alfworld,68.408,1.5535
ALFWorld,agentmark,deepseek,ID,3/3,14.6953,0.7341,alfworld,87.3809,2.8868
ALFWorld,agentmark,deepseek,OOD,3/3,15.2114,0.0524,alfworld,89.801,0.8617
ALFWorld,rank,gemini-flash,ID,3/3,18.4738,0.5269,alfworld,70.9524,2.8868
ALFWorld,rank,gemini-flash,OOD,3/3,17.9428,0.9122,alfworld,68.9055,2.3989
ALFWorld,rank,deepseek,ID,3/3,14.3333,0.2761,alfworld,87.1429,1.4286
ALFWorld,rank,deepseek,OOD,3/3,14.8532,0.256,alfworld,87.3134,2.5851
ToolBench,vanilla,gemini-flash,all_6_splits,18/18,4.1444,0.489,toolbench,83.5185,7.7941
ToolBench,vanilla,deepseek,all_6_splits,18/18,3.9667,0.479,toolbench,84.6759,9.6725
ToolBench,clean,gemini-flash,all_6_splits,18/18,4.7639,0.7083,toolbench,73.9352,8.6262
ToolBench,clean,deepseek,all_6_splits,18/18,5.8694,1.078,toolbench,77.3611,11.265
ToolBench,rg,gemini-flash,all_6_splits,18/18,4.7722,0.5961,toolbench,72.8704,7.6067
ToolBench,rg,deepseek,all_6_splits,18/18,4.7889,0.7235,toolbench,77.4074,14.9315
ToolBench,agentmark,gemini-flash,all_6_splits,18/18,4.5667,0.6624,toolbench,74.8611,10.9896
ToolBench,agentmark,deepseek,all_6_splits,18/18,4.5056,1.052,toolbench,74.537,13.7533
ToolBench,rank,gemini-flash,all_6_splits,18/18,4.5222,0.445,toolbench,76.713,11.1675
ToolBench,rank,deepseek,all_6_splits,18/18,5.6111,1.0546,toolbench,77.4074,11.0402
