dataset,method,model,split,config,alpha,noise_rate,erasure_rate,runs,attained_runs,N_clean_mean,N_attack_mean,compensation_ratio_mean,compensation_ratio_std
alfworld,rank,deepseek,ID,full_rank,0.01,0.0,0.0,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.0,0.1,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.0,0.2,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.0,0.3,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.0,0.5,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.0,0.7,3,3,20,43.333333333333336,2.1666666666666665,0.5773502691896257
alfworld,rank,deepseek,ID,full_rank,0.01,0.05,0.0,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.05,0.1,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.05,0.2,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.05,0.3,3,3,20,30,1.5,1.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.05,0.5,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.05,0.7,3,3,20,33.333333333333336,1.6666666666666667,0.7637626158259734
alfworld,rank,deepseek,ID,full_rank,0.01,0.1,0.0,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,full_rank,0.01,0.1,0.1,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.1,0.2,3,3,20,16.666666666666668,0.8333333333333334,0.28867513459481287
alfworld,rank,deepseek,ID,full_rank,0.01,0.1,0.3,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.1,0.5,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,full_rank,0.01,0.1,0.7,3,3,20,43.333333333333336,2.1666666666666665,0.5773502691896257
alfworld,rank,deepseek,ID,full_rank,0.01,0.15,0.0,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,full_rank,0.01,0.15,0.1,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.15,0.2,3,3,20,33.333333333333336,1.6666666666666667,0.7637626158259734
alfworld,rank,deepseek,ID,full_rank,0.01,0.15,0.3,3,3,20,30,1.5,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.15,0.5,3,3,20,53.333333333333336,2.6666666666666665,1.2583057392117916
alfworld,rank,deepseek,ID,full_rank,0.01,0.15,0.7,3,3,20,70,3.5,1.8027756377319946
alfworld,rank,deepseek,ID,full_rank,0.01,0.2,0.0,3,3,20,33.333333333333336,1.6666666666666667,0.7637626158259734
alfworld,rank,deepseek,ID,full_rank,0.01,0.2,0.1,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,full_rank,0.01,0.2,0.2,3,3,20,36.666666666666664,1.8333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,full_rank,0.01,0.2,0.3,3,3,20,26.666666666666668,1.3333333333333333,1.0408329997330663
alfworld,rank,deepseek,ID,full_rank,0.01,0.2,0.5,3,3,20,50,2.5,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.2,0.7,3,3,20,70,3.5,1.8027756377319946
alfworld,rank,deepseek,ID,full_rank,0.01,0.3,0.0,3,3,20,33.333333333333336,1.6666666666666667,0.7637626158259734
alfworld,rank,deepseek,ID,full_rank,0.01,0.3,0.1,3,3,20,53.333333333333336,2.6666666666666665,1.2583057392117916
alfworld,rank,deepseek,ID,full_rank,0.01,0.3,0.2,3,3,20,53.333333333333336,2.6666666666666665,1.2583057392117916
alfworld,rank,deepseek,ID,full_rank,0.01,0.3,0.3,3,3,20,50,2.5,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.3,0.5,3,3,20,83.33333333333333,4.166666666666667,3.253203549323856
alfworld,rank,deepseek,ID,full_rank,0.01,0.3,0.7,3,3,20,116.66666666666667,5.833333333333333,1.4433756729740643
alfworld,rank,deepseek,ID,full_rank,0.01,0.5,0.0,3,0,20,,,
alfworld,rank,deepseek,ID,full_rank,0.01,0.5,0.1,3,0,20,,,
alfworld,rank,deepseek,ID,full_rank,0.01,0.5,0.2,3,1,20,200,10.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.5,0.3,3,0,20,,,
alfworld,rank,deepseek,ID,full_rank,0.01,0.5,0.5,3,1,20,100,5.0,0.0
alfworld,rank,deepseek,ID,full_rank,0.01,0.5,0.7,3,0,20,,,
alfworld,rank,deepseek,ID,top10,0.01,0.0,0.0,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top10,0.01,0.0,0.1,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top10,0.01,0.0,0.2,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top10,0.01,0.0,0.3,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top10,0.01,0.0,0.5,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,top10,0.01,0.0,0.7,3,3,20,33.333333333333336,1.6666666666666667,0.7637626158259734
alfworld,rank,deepseek,ID,top10,0.01,0.05,0.0,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top10,0.01,0.05,0.1,3,3,20,20,1.0,0.0
