dataset,method,model,split,runs,recovery_rate_mean,recovery_rate_std,dedup_packet_mean,dedup_packet_std
alfworld,agentmark,deepseek,ID,3,0.6666666666666666,0.014869042853329512,19.55952380952381,1.5225571490452647
alfworld,agentmark,deepseek,OOD,3,0.7213930348258707,0.02398918099749492,21.902985074626866,0.6390517730469423
alfworld,agentmark,gemini-flash,ID,3,0.8285714285714286,0.01428571428571429,37.528571428571425,0.6752550538538035
alfworld,agentmark,gemini-flash,OOD,3,0.8134328358208955,0.014925373134328346,37.84577114427861,0.7498917027823624
alfworld,rank,deepseek,ID,3,0.2333333333333333,0.041239304942116105,7.154761904761905,0.2649926195866107
alfworld,rank,deepseek,OOD,3,0.24129353233830844,0.004308584098430039,7.718905472636816,0.2158166291218307
alfworld,rank,gemini-flash,ID,3,0.5071428571428571,0.05846680551337463,15.695238095238096,0.5332004511330015
alfworld,rank,gemini-flash,OOD,3,0.4104477611940298,0.01974441276913873,14.686567164179104,0.957058639051549
toolbench,agentmark,deepseek,G1_category,3,0.03333333333333333,0.02886751345948129,1.1833333333333333,0.30550504633038933
toolbench,agentmark,deepseek,G1_instruction,3,0.15,0.0,3.4166666666666665,0.5773502691896257
toolbench,agentmark,deepseek,G1_tool,3,0.0,0.0,1.4166666666666667,0.37527767497325676
toolbench,agentmark,deepseek,G2_category,3,0.2,0.09999999999999999,3.9333333333333336,1.1184066046538412
toolbench,agentmark,deepseek,G2_instruction,3,0.15,0.0,3.216666666666667,0.9751068317540048
toolbench,agentmark,deepseek,G3_instruction,3,0.18333333333333335,0.07637626158259733,3.1,0.3499999999999999
toolbench,agentmark,gemini-flash,G1_category,3,0.03333333333333333,0.05773502691896258,1.9,0.7566372975210778
toolbench,agentmark,gemini-flash,G1_instruction,3,0.08333333333333334,0.02886751345948129,2.8833333333333333,1.3156113914577257
toolbench,agentmark,gemini-flash,G1_tool,3,0.11666666666666667,0.07637626158259733,3.3833333333333333,0.8005206639015219
toolbench,agentmark,gemini-flash,G2_category,3,0.1,0.049999999999999996,3.5166666666666666,1.3269639532908697
toolbench,agentmark,gemini-flash,G2_instruction,3,0.05,0.05,2.65,0.9759610647971568
toolbench,agentmark,gemini-flash,G3_instruction,3,0.05,0.05,2.716666666666667,0.4932882862316248
toolbench,rank,deepseek,G1_category,3,0.05,0.05,1.1666666666666667,0.5507570547286103
toolbench,rank,deepseek,G1_instruction,3,0.03333333333333333,0.02886751345948129,2.2666666666666666,0.36855573979159956
toolbench,rank,deepseek,G1_tool,3,0.016666666666666666,0.02886751345948129,1.8666666666666667,0.275378527364305
toolbench,rank,deepseek,G2_category,3,0.03333333333333333,0.05773502691896258,2.216666666666667,0.37527767497325676
toolbench,rank,deepseek,G2_instruction,3,0.0,0.0,1.45,0.7697402159170327
toolbench,rank,deepseek,G3_instruction,3,0.03333333333333333,0.02886751345948129,1.5833333333333333,0.553022000767902
toolbench,rank,gemini-flash,G1_category,3,0.016666666666666666,0.02886751345948129,1.0833333333333333,0.0763762615825973
toolbench,rank,gemini-flash,G1_instruction,3,0.0,0.0,1.3,0.3041381265149109
toolbench,rank,gemini-flash,G1_tool,3,0.016666666666666666,0.02886751345948129,1.0833333333333335,0.22546248764114474
toolbench,rank,gemini-flash,G2_category,3,0.03333333333333333,0.02886751345948129,1.2833333333333334,0.2753785273643051
toolbench,rank,gemini-flash,G2_instruction,3,0.0,0.0,1.0333333333333334,0.2843120351538664
toolbench,rank,gemini-flash,G3_instruction,3,0.0,0.0,1.2833333333333334,0.2565800719723442
