dataset,method,level,channel,payload_recovery_rate,bit_match_rate,c_eff_proxy_bits
ALFWorld,AgentMark-F,0,L0_exact_probs,0.7004,0.9851,19.692
ALFWorld,AgentMark-F,1,L1_top10_rank,0.0141,0.5935,0.333
ALFWorld,AgentMark-F,2,L2_top8_rank,0.0042,0.5468,0.106
ALFWorld,AgentMark-F,3,L3_top6_rank,0.0042,0.4976,0.089
ALFWorld,AgentMark-F,4,L4_top4_rank,0.0024,0.4929,0.04
ALFWorld,AgentMark-F,5,L5_top2_rank,0.0037,0.5038,0.032
ALFWorld,AgentMark-F,6,L6_selected_only,0.0,0.0,0.0
ALFWorld,AsymAgentMark-TK,0,L0_exact_probs,0.5319,0.9423,7.707
ALFWorld,AsymAgentMark-TK,1,L1_top10_rank,0.068,0.7178,1.0
ALFWorld,AsymAgentMark-TK,2,L2_top8_rank,0.042,0.6686,0.606
ALFWorld,AsymAgentMark-TK,3,L3_top6_rank,0.0279,0.6407,0.364
ALFWorld,AsymAgentMark-TK,4,L4_top4_rank,0.011,0.5939,0.131
ALFWorld,AsymAgentMark-TK,5,L5_top2_rank,0.006,0.566,0.053
ALFWorld,AsymAgentMark-TK,6,L6_selected_only,0.0,0.0,0.0
ToolBench,AgentMark-F,0,L0_exact_probs,0.0847,0.5816,0.248
ToolBench,AgentMark-F,1,L1_top10_rank,0.0028,0.2989,0.009
ToolBench,AgentMark-F,2,L2_top8_rank,0.0,0.3034,0.0
ToolBench,AgentMark-F,3,L3_top6_rank,0.0,0.2915,0.0
ToolBench,AgentMark-F,4,L4_top4_rank,0.0014,0.3007,0.004
ToolBench,AgentMark-F,5,L5_top2_rank,0.0,0.3092,0.0
ToolBench,AgentMark-F,6,L6_selected_only,0.0,0.0,0.0
ToolBench,AsymAgentMark-TK,0,L0_exact_probs,0.0333,0.502,0.053
ToolBench,AsymAgentMark-TK,1,L1_top10_rank,0.0319,0.5008,0.05
ToolBench,AsymAgentMark-TK,2,L2_top8_rank,0.0194,0.4918,0.032
ToolBench,AsymAgentMark-TK,3,L3_top6_rank,0.0069,0.4696,0.01
ToolBench,AsymAgentMark-TK,4,L4_top4_rank,0.0056,0.4336,0.009
ToolBench,AsymAgentMark-TK,5,L5_top2_rank,0.0,0.3575,0.0
ToolBench,AsymAgentMark-TK,6,L6_selected_only,0.0,0.0,0.0
