dataset,model,topk,exact_decodable_steps,rank_stable_steps,selected_dropped_steps,selected_dropped_rate,bin_changed_given_rank_stable,bit_changed_given_rank_stable,bit_changed_given_bin_changed,exact_bits_mean,topk_bits_mean_rank_stable
alfworld,deepseek,2,7039,3201,3838,0.545248,0.785067,0.748204,0.953044,2.417957,0.83099
alfworld,deepseek,4,7039,5119,1920,0.272766,0.567689,0.512795,0.903304,2.417957,1.521977
alfworld,deepseek,6,7039,6055,984,0.139793,0.384476,0.321057,0.835052,2.417957,1.900248
alfworld,deepseek,8,7039,6529,510,0.072453,0.241078,0.214122,0.888183,2.417957,2.103385
alfworld,deepseek,10,7039,6762,277,0.039352,0.136646,0.111358,0.814935,2.417957,2.22168
alfworld,gemini-flash,2,9630,3129,6501,0.675078,0.720678,0.679131,0.94235,3.216615,0.861298
alfworld,gemini-flash,4,9630,4901,4729,0.49107,0.568863,0.513161,0.90208,3.216615,1.492961
alfworld,gemini-flash,6,9630,6006,3624,0.376324,0.47336,0.440393,0.930355,3.216615,1.857309
alfworld,gemini-flash,8,9630,6705,2925,0.303738,0.432364,0.391051,0.90445,3.216615,2.067114
alfworld,gemini-flash,10,9630,7328,2302,0.239045,0.395742,0.349072,0.882069,3.216615,2.278384
toolbench,deepseek,2,522,257,265,0.507663,0.688716,0.680934,0.988701,2.402299,0.836576
toolbench,deepseek,4,522,392,130,0.249042,0.52551,0.436224,0.830097,2.402299,1.716837
toolbench,deepseek,6,522,479,43,0.082375,0.294363,0.254697,0.865248,2.402299,2.133612
toolbench,deepseek,8,522,502,20,0.038314,0.103586,0.067729,0.653846,2.402299,2.290837
toolbench,deepseek,10,522,518,4,0.007663,0.046332,0.03668,0.791667,2.402299,2.372587
toolbench,gemini-flash,2,547,299,248,0.453382,0.595318,0.545151,0.91573,2.261426,0.93311
toolbench,gemini-flash,4,547,417,130,0.23766,0.357314,0.309353,0.865772,2.261426,1.606715
toolbench,gemini-flash,6,547,496,51,0.093236,0.221774,0.195565,0.881818,2.261426,1.955645
toolbench,gemini-flash,8,547,521,26,0.047532,0.151631,0.113244,0.746835,2.261426,2.095969
toolbench,gemini-flash,10,547,542,5,0.009141,0.112546,0.077491,0.688525,2.261426,2.210332
