dataset,method,model,split,topk,noise_model,epsilon,rank_tree_depth,clean_decodable_steps,trials,step_flip_rate,bit_flip_rate,len_mismatch_rate,prop2_bound_c1,prop2_bound_fitted_c
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.0,2,18,180,0.0,0.0,0.0,0.0,0.0
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.05,2,18,180,0.022222,0.022222,0.022222,0.0975,0.033882
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.1,2,18,180,0.122222,0.122222,0.083333,0.19,0.068354
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.15,2,18,180,0.133333,0.133333,0.122222,0.2775,0.10346
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.2,2,18,180,0.194444,0.194444,0.155556,0.36,0.139251
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.25,2,18,180,0.222222,0.222222,0.194444,0.4375,0.175784
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.3,2,18,180,0.266667,0.266667,0.222222,0.51,0.213125
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.35,2,18,180,0.311111,0.311111,0.25,0.5775,0.251352
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.4,2,18,180,0.305556,0.305556,0.238889,0.64,0.290557
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.45,2,18,180,0.388889,0.388889,0.333333,0.6975,0.33085
toolbench,AsymAgentMark-TK,deepseek,G1_category,3,adjacent_swap,0.5,2,18,180,0.438889,0.438889,0.383333,0.75,0.372364
toolbench,AsymAgentMark-TK,deepseek,G1_category,5,adjacent_swap,0.0,3,32,320,0.0,0.0,0.0,0.0,0.0
toolbench,AsymAgentMark-TK,deepseek,G1_category,5,adjacent_swap,0.05,3,32,320,0.065625,0.061905,0.0625,0.142625,0.05039
toolbench,AsymAgentMark-TK,deepseek,G1_category,5,adjacent_swap,0.1,3,32,320,0.15625,0.130952,0.125,0.271,0.100758
toolbench,AsymAgentMark-TK,deepseek,G1_category,5,adjacent_swap,0.15,3,32,320,0.18125,0.178571,0.16875,0.385875,0.151104
toolbench,AsymAgentMark-TK,deepseek,G1_category,5,adjacent_swap,0.2,3,32,320,0.2625,0.22381,0.24375,0.488,0.201427
