Dataset,Method,Logged Channel,Cells,Payload Recovery (%),Bit Match (%),Proxy C_eff
ALFWorld,AgentMark-F,L0_exact_probs,4,70.04,98.51,19.692
ALFWorld,AgentMark-F,L1_top10_rank,4,1.41,59.35,0.333
ALFWorld,AgentMark-F,L2_top8_rank,4,0.42,54.68,0.106
ALFWorld,AgentMark-F,L3_top6_rank,4,0.42,49.76,0.089
ALFWorld,AgentMark-F,L4_top4_rank,4,0.24,49.29,0.040
ALFWorld,AgentMark-F,L5_top2_rank,4,0.37,50.38,0.032
ALFWorld,AgentMark-F,L6_selected_only,4,0.00,0.00,0.000
ALFWorld,AsymAgentMark-TK,L0_exact_probs,4,53.19,94.23,7.707
ALFWorld,AsymAgentMark-TK,L1_top10_rank,4,6.80,71.78,1.000
ALFWorld,AsymAgentMark-TK,L2_top8_rank,4,4.20,66.86,0.606
ALFWorld,AsymAgentMark-TK,L3_top6_rank,4,2.79,64.07,0.364
ALFWorld,AsymAgentMark-TK,L4_top4_rank,4,1.10,59.39,0.131
ALFWorld,AsymAgentMark-TK,L5_top2_rank,4,0.60,56.60,0.053
ALFWorld,AsymAgentMark-TK,L6_selected_only,4,0.00,0.00,0.000
ToolBench,AgentMark-F,L0_exact_probs,12,8.47,58.16,0.248
ToolBench,AgentMark-F,L1_top10_rank,12,0.28,29.89,0.009
ToolBench,AgentMark-F,L2_top8_rank,12,0.00,30.34,0.000
ToolBench,AgentMark-F,L3_top6_rank,12,0.00,29.15,0.000
ToolBench,AgentMark-F,L4_top4_rank,12,0.14,30.07,0.004
ToolBench,AgentMark-F,L5_top2_rank,12,0.00,30.92,0.000
ToolBench,AgentMark-F,L6_selected_only,12,0.00,0.00,0.000
ToolBench,AsymAgentMark-TK,L0_exact_probs,12,3.33,50.20,0.053
ToolBench,AsymAgentMark-TK,L1_top10_rank,12,3.19,50.08,0.050
ToolBench,AsymAgentMark-TK,L2_top8_rank,12,1.94,49.18,0.032
ToolBench,AsymAgentMark-TK,L3_top6_rank,12,0.69,46.96,0.010
ToolBench,AsymAgentMark-TK,L4_top4_rank,12,0.56,43.36,0.009
ToolBench,AsymAgentMark-TK,L5_top2_rank,12,0.00,35.75,0.000
ToolBench,AsymAgentMark-TK,L6_selected_only,12,0.00,0.00,0.000
