dataset,method,config,label,N,runs,match_rate,mean_log10_p
alfworld,agentmark,L0_exact_probs,AgentMark-F exact,5,12,1.000,-1.505
alfworld,agentmark,L0_exact_probs,AgentMark-F exact,10,12,1.000,-3.010
alfworld,agentmark,L0_exact_probs,AgentMark-F exact,20,12,1.000,-6.021
alfworld,agentmark,L0_exact_probs,AgentMark-F exact,30,12,1.000,-9.031
alfworld,agentmark,L0_exact_probs,AgentMark-F exact,50,12,1.000,-15.051
alfworld,agentmark,L0_exact_probs,AgentMark-F exact,80,12,1.000,-24.082
alfworld,agentmark,L0_exact_probs,AgentMark-F exact,100,12,1.000,-30.103
alfworld,agentmark,L0_exact_probs,AgentMark-F exact,150,12,1.000,-45.154
alfworld,agentmark,L0_exact_probs,AgentMark-F exact,200,12,1.000,-60.206
alfworld,rank,top10,AsymMark-R top-10,5,12,0.933,-1.275
alfworld,rank,top10,AsymMark-R top-10,10,12,0.950,-2.517
alfworld,rank,top10,AsymMark-R top-10,20,12,0.958,-4.972
alfworld,rank,top10,AsymMark-R top-10,30,12,0.961,-7.438
alfworld,rank,top10,AsymMark-R top-10,50,12,0.955,-11.850
alfworld,rank,top10,AsymMark-R top-10,80,12,0.949,-18.093
alfworld,rank,top10,AsymMark-R top-10,100,12,0.945,-21.983
alfworld,rank,top10,AsymMark-R top-10,150,12,0.950,-33.390
alfworld,rank,top10,AsymMark-R top-10,200,12,0.953,-44.919
toolbench,agentmark,L0_exact_probs,AgentMark-F exact,5,36,1.000,-1.505
toolbench,agentmark,L0_exact_probs,AgentMark-F exact,10,36,1.000,-3.002
toolbench,agentmark,L0_exact_probs,AgentMark-F exact,20,36,1.000,-5.536
toolbench,agentmark,L0_exact_probs,AgentMark-F exact,30,36,1.000,-7.233
toolbench,agentmark,L0_exact_probs,AgentMark-F exact,50,36,1.000,-7.743
toolbench,agentmark,L0_exact_probs,AgentMark-F exact,80,36,1.000,-7.743
toolbench,agentmark,L0_exact_probs,AgentMark-F exact,100,36,1.000,-7.743
toolbench,agentmark,L0_exact_probs,AgentMark-F exact,150,36,1.000,-7.743
toolbench,agentmark,L0_exact_probs,AgentMark-F exact,200,36,1.000,-7.743
toolbench,rank,top10,AsymMark-R top-10,5,36,1.000,-1.505
toolbench,rank,top10,AsymMark-R top-10,10,36,1.000,-3.002
toolbench,rank,top10,AsymMark-R top-10,20,36,1.000,-5.368
toolbench,rank,top10,AsymMark-R top-10,30,36,1.000,-6.355
toolbench,rank,top10,AsymMark-R top-10,50,36,1.000,-6.556
toolbench,rank,top10,AsymMark-R top-10,80,36,1.000,-6.556
toolbench,rank,top10,AsymMark-R top-10,100,36,1.000,-6.556
toolbench,rank,top10,AsymMark-R top-10,150,36,1.000,-6.556
toolbench,rank,top10,AsymMark-R top-10,200,36,1.000,-6.556
