Dataset,Method,Model,Split,Runs,Payload Recovery (%),Recovery Std (%),Dedup Packets
ALFWorld,AgentMark-F,deepseek,ID,3,66.67,1.49,19.56
ALFWorld,AgentMark-F,deepseek,OOD,3,72.14,2.40,21.90
ALFWorld,AgentMark-F,gemini-flash,ID,3,82.86,1.43,37.53
ALFWorld,AgentMark-F,gemini-flash,OOD,3,81.34,1.49,37.85
ALFWorld,AsymAgentMark-TK,deepseek,ID,3,23.33,4.12,7.15
ALFWorld,AsymAgentMark-TK,deepseek,OOD,3,24.13,0.43,7.72
ALFWorld,AsymAgentMark-TK,gemini-flash,ID,3,50.71,5.85,15.70
ALFWorld,AsymAgentMark-TK,gemini-flash,OOD,3,41.04,1.97,14.69
ToolBench,AgentMark-F,deepseek,G1_category,3,3.33,2.89,1.18
ToolBench,AgentMark-F,deepseek,G1_instruction,3,15.00,0.00,3.42
ToolBench,AgentMark-F,deepseek,G1_tool,3,0.00,0.00,1.42
ToolBench,AgentMark-F,deepseek,G2_category,3,20.00,10.00,3.93
ToolBench,AgentMark-F,deepseek,G2_instruction,3,15.00,0.00,3.22
ToolBench,AgentMark-F,deepseek,G3_instruction,3,18.33,7.64,3.10
ToolBench,AgentMark-F,gemini-flash,G1_category,3,3.33,5.77,1.90
ToolBench,AgentMark-F,gemini-flash,G1_instruction,3,8.33,2.89,2.88
ToolBench,AgentMark-F,gemini-flash,G1_tool,3,11.67,7.64,3.38
ToolBench,AgentMark-F,gemini-flash,G2_category,3,10.00,5.00,3.52
ToolBench,AgentMark-F,gemini-flash,G2_instruction,3,5.00,5.00,2.65
ToolBench,AgentMark-F,gemini-flash,G3_instruction,3,5.00,5.00,2.72
ToolBench,AsymAgentMark-TK,deepseek,G1_category,3,5.00,5.00,1.17
ToolBench,AsymAgentMark-TK,deepseek,G1_instruction,3,3.33,2.89,2.27
ToolBench,AsymAgentMark-TK,deepseek,G1_tool,3,1.67,2.89,1.87
ToolBench,AsymAgentMark-TK,deepseek,G2_category,3,3.33,5.77,2.22
ToolBench,AsymAgentMark-TK,deepseek,G2_instruction,3,0.00,0.00,1.45
ToolBench,AsymAgentMark-TK,deepseek,G3_instruction,3,3.33,2.89,1.58
ToolBench,AsymAgentMark-TK,gemini-flash,G1_category,3,1.67,2.89,1.08
ToolBench,AsymAgentMark-TK,gemini-flash,G1_instruction,3,0.00,0.00,1.30
ToolBench,AsymAgentMark-TK,gemini-flash,G1_tool,3,1.67,2.89,1.08
ToolBench,AsymAgentMark-TK,gemini-flash,G2_category,3,3.33,2.89,1.28
ToolBench,AsymAgentMark-TK,gemini-flash,G2_instruction,3,0.00,0.00,1.03
ToolBench,AsymAgentMark-TK,gemini-flash,G3_instruction,3,0.00,0.00,1.28
