Dataset,Method,Model,Split,Runs,SR (%),SR Std,Steps,Steps Std
ALFWorld,Vanilla,gemini-flash,ID,3/3,60.95,1.09,18.45,0.07
ALFWorld,Vanilla,gemini-flash,OOD,3/3,66.67,1.55,17.67,0.49
ALFWorld,Vanilla,deepseek,ID,3/3,71.67,1.65,15.59,0.56
ALFWorld,Vanilla,deepseek,OOD,3/3,77.11,0.86,14.46,0.39
ALFWorld,Clean,gemini-flash,ID,3/3,72.62,0.82,17.34,0.08
ALFWorld,Clean,gemini-flash,OOD,3/3,69.40,0.00,18.76,0.00
ALFWorld,Clean,deepseek,ID,3/3,88.57,0.00,14.64,0.01
ALFWorld,Clean,deepseek,OOD,3/3,89.55,0.00,14.19,0.03
ALFWorld,Red-Green,gemini-flash,ID,3/3,63.33,2.89,19.96,0.36
ALFWorld,Red-Green,gemini-flash,OOD,3/3,63.93,3.02,19.95,0.90
ALFWorld,Red-Green,deepseek,ID,3/3,84.52,0.41,15.28,0.04
ALFWorld,Red-Green,deepseek,OOD,3/3,87.81,3.37,15.12,0.37
ALFWorld,AgentMark-F,gemini-flash,ID,3/3,72.14,3.57,18.05,0.10
ALFWorld,AgentMark-F,gemini-flash,OOD,3/3,68.41,1.55,18.36,0.39
ALFWorld,AgentMark-F,deepseek,ID,3/3,87.38,2.89,14.70,0.73
ALFWorld,AgentMark-F,deepseek,OOD,3/3,89.80,0.86,15.21,0.05
ALFWorld,AsymAgentMark-TK,gemini-flash,ID,3/3,70.95,2.89,18.47,0.53
ALFWorld,AsymAgentMark-TK,gemini-flash,OOD,3/3,68.91,2.40,17.94,0.91
ALFWorld,AsymAgentMark-TK,deepseek,ID,3/3,87.14,1.43,14.33,0.28
ALFWorld,AsymAgentMark-TK,deepseek,OOD,3/3,87.31,2.59,14.85,0.26
ToolBench,Vanilla,gemini-flash,all_6_splits,18/18,83.52,7.79,4.14,0.49
ToolBench,Vanilla,deepseek,all_6_splits,18/18,84.68,9.67,3.97,0.48
ToolBench,Clean,gemini-flash,all_6_splits,18/18,73.94,8.63,4.76,0.71
ToolBench,Clean,deepseek,all_6_splits,18/18,77.36,11.27,5.87,1.08
ToolBench,Red-Green,gemini-flash,all_6_splits,18/18,72.87,7.61,4.77,0.60
ToolBench,Red-Green,deepseek,all_6_splits,18/18,77.41,14.93,4.79,0.72
ToolBench,AgentMark-F,gemini-flash,all_6_splits,18/18,74.86,10.99,4.57,0.66
ToolBench,AgentMark-F,deepseek,all_6_splits,18/18,74.54,13.75,4.51,1.05
ToolBench,AsymAgentMark-TK,gemini-flash,all_6_splits,18/18,76.71,11.17,4.52,0.45
ToolBench,AsymAgentMark-TK,deepseek,all_6_splits,18/18,77.41,11.04,5.61,1.05
