rewrite_strength,topk,pool_size,sample_repeats,available_trajectories,pooled_dsr_mean,pooled_dsr_std,dedup_packets_mean,conflicts_mean
light,10,5,50,183,0.100,0.303,7.500,0.220
light,10,10,50,183,0.260,0.443,13.100,1.300
light,10,20,50,183,0.540,0.503,22.740,3.120
light,10,30,50,183,0.600,0.495,26.220,5.020
light,10,50,50,183,0.780,0.418,32.780,7.940
light,10,75,50,183,0.860,0.351,38.080,9.800
light,10,100,50,183,0.960,0.198,39.420,11.220
light,10,150,50,183,1.000,0.000,43.680,13.180
light,10,183,1,183,1.000,0.000,45.000,14.000
medium,10,5,50,183,0.200,0.404,8.720,0.340
medium,10,10,50,183,0.300,0.463,12.780,1.400
medium,10,20,50,183,0.500,0.505,20.220,3.360
medium,10,30,50,183,0.640,0.485,25.600,5.180
medium,10,50,50,183,0.880,0.328,31.860,7.920
medium,10,75,50,183,0.740,0.443,37.500,9.600
medium,10,100,50,183,0.920,0.274,39.900,11.240
medium,10,150,50,183,1.000,0.000,43.260,12.600
medium,10,183,1,183,1.000,0.000,45.000,13.000
heavy,10,5,50,183,0.140,0.351,8.340,0.260
heavy,10,10,50,183,0.220,0.418,12.920,1.200
heavy,10,20,50,183,0.660,0.479,21.480,2.760
heavy,10,30,50,183,0.680,0.471,25.080,5.060
heavy,10,50,50,183,0.720,0.454,33.180,7.240
heavy,10,75,50,183,0.860,0.351,38.480,9.920
heavy,10,100,50,183,0.960,0.198,40.760,11.260
heavy,10,150,50,183,1.000,0.000,44.260,13.420
heavy,10,183,1,183,1.000,0.000,45.000,14.000
